NumHiddenLayers,HiddenLayerSize,TrainingFn,Regularization,TrainingError,TestError,NumberOfEpochs,Out1Tar1,Out1Tar2,Out1Tar3,Out2Tar1,Out2Tar2,Out2Tar3,Out3Tar1,Out3Tar2,Out3Tar3
2,5,traingdm,0,0.842932002328209,0.48130393096836,1000,238,103,92,17,13,5,76,209,290
2,5,traingdm,0.1,0.812707573023842,0.502396931927133,1000,248,129,119,10,5,2,73,191,266
2,5,traingdm,0.2,0.777752189581207,0.518696069031639,1000,266,158,150,1,0,1,64,167,236
2,5,traingdm,0.5,0.646832454323934,0.563758389261745,1000,291,224,223,0,0,0,40,101,164
2,5,traingdm,1,0.356207508967516,0.64333652924257,1000,36,47,51,0,0,0,295,278,336
2,5,traingdx,0,0.7378997450864,0.339405560882071,1000,261,65,23,55,172,108,15,88,256
2,5,traingdx,0.1,0.695522700102178,0.377756471716203,1000,250,66,26,65,138,100,16,121,261
2,5,traingdx,0.2,0.636046239779213,0.417066155321189,1000,255,80,41,53,80,73,23,165,273
2,5,traingdx,0.5,0.417312722554773,0.445829338446788,1000,261,96,70,0,0,0,70,229,317
2,5,traingdx,1,2.79202106845253e-10,0.62895493767977,149,0,0,0,0,0,0,331,325,387
2,5,trainrp,0,0.734587116663974,0.348993288590604,1000,261,65,19,58,161,111,12,99,257
2,5,trainrp,0.1,0.694499414945061,0.354745925215724,1000,255,66,30,63,149,88,13,110,269
2,5,trainrp,0.2,0.635910568752776,0.418024928092042,1000,251,78,37,59,89,83,21,158,267
2,5,trainrp,0.5,0.41731272568796,0.445829338446788,150,261,96,70,0,0,0,70,229,317
2,5,trainrp,1,1.08372503389463e-09,0.62895493767977,28,0,0,0,0,0,0,331,325,387
2,5,trainbfg,0,0.721581554450367,0.35953978906999,1000,247,59,17,69,163,112,15,103,258
2,5,trainbfg,0.1,0.694130527488201,0.348993288590604,319,255,62,29,61,153,87,15,110,271
2,5,trainbfg,0.2,0.635902267285284,0.418983700862895,216,253,79,36,57,86,84,21,160,267
2,5,trainbfg,0.5,0.417312721719892,0.445829338446788,105,261,96,70,0,0,0,70,229,317
2,5,trainbfg,1,1.87761808522403e-32,0.682646212847555,1,331,325,387,0,0,0,0,0,0
2,5,trainbr,0,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,0.1,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,0.2,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,0.5,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,1,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,10,traingd,0,0.836911889642195,0.493767976989454,1000,221,72,50,76,135,165,34,118,172
2,10,traingd,0.1,0.793954052961119,0.494726749760307,1000,221,72,51,78,139,169,32,114,167
2,10,traingd,0.2,0.749199038106888,0.494726749760307,1000,221,72,51,80,142,172,30,111,164
2,10,traingd,0.5,0.604298147510868,0.542665388302972,1000,222,72,51,95,164,245,14,89,91
2,10,traingd,1,0.328509542266928,0.554170661553212,1000,223,83,60,108,242,327,0,0,0
2,10,traingda,0,0.740187676938675,0.350910834132311,1000,256,65,27,65,176,115,10,84,245
2,10,traingda,0.1,0.711186503873868,0.426653883029722,1000,228,41,23,88,135,129,15,149,235
2,10,traingda,0.2,0.635036622160332,0.445829338446788,1000,249,76,43,66,108,123,16,141,221
2,10,traingda,0.5,0.403577023081554,0.448705656759348,1000,246,84,47,27,23,34,58,218,306
2,10,traingda,1,5.32800299649059e-09,0.688398849472675,175,0,0,0,331,325,387,0,0,0
2,10,traingdm,0,0.837033867050378,0.494726749760307,1000,221,72,50,76,134,165,34,119,172
2,10,traingdm,0.1,0.794040651967859,0.494726749760307,1000,221,72,51,78,139,169,32,114,167
2,10,traingdm,0.2,0.749255634040811,0.494726749760307,1000,221,72,51,80,142,172,30,111,164
2,10,traingdm,0.5,0.604301167639109,0.542665388302972,1000,222,72,51,95,164,245,14,89,91
2,10,traingdm,1,0.328472904285002,0.554170661553212,1000,223,83,60,108,242,327,0,0,0
2,10,traingdx,0,0.736973303856648,0.334611697027804,1000,258,59,19,61,172,104,12,94,264
2,10,traingdx,0.1,0.679418612199013,0.345158197507191,1000,257,61,25,59,162,98,15,102,264
2,10,traingdx,0.2,0.61535809192187,0.353787152444871,1000,255,66,29,62,151,90,14,108,268
